,actors,number_of_movies,average_revenue,average_revenue (shifted)
49666,Andrea Jeremiah,3,27083515.67,81250547
49667,Subbu Panchu,1,28000000.0,28000000
49668,Tulasi,1,28000000.0,28000000
49669,Debi Dutta,1,28000000.0,28000000
49670,Kainaat Arora,2,37500000.0,75000000
49671,Hugh Daly,1,48126384.0,48126384
49672,Gene Hong,1,48126384.0,48126384
49673,Zone,1,48126384.0,48126384
49674,Alvin Norman,1,48126384.0,48126384
49675,Richard Cabral,4,62107138.0,248428552
49676,Diamonique,1,48126384.0,48126384
49677,Maurice Compte,3,39605500.67,118816502
49678,Flakiss,1,48126384.0,48126384
49679,Manny Jimenez Jr.,1,48126384.0,48126384
49680,Nikki Nicholle Barreras,1,48126384.0,48126384
49681,Candace Smith,2,24743147.0,49486294
49682,Corina Calderon,2,396863219.0,793726438
49683,David Fernandez Jr.,2,67244378.0,134488756
49684,McKinley Freeman,1,48126384.0,48126384
49685,Kevin Vance,4,255763215.5,1023052862
49686,Ho-jeong Yu,1,48000000.0,48000000
49687,Shim Eun-kyung,2,25064884.0,50129768
49688,Kang So-ra,1,48000000.0,48000000
49689,Go Soo-hee,1,48000000.0,48000000
49690,Kim Min-young,1,48000000.0,48000000
49691,Hong Jin-hee,1,48000000.0,48000000
49692,Park Jin-Joo,1,48000000.0,48000000
49693,Lee Yeon-Kyeong,1,48000000.0,48000000
49694,Nam Bo-ra,1,48000000.0,48000000
49695,Kim Bo-mi,1,48000000.0,48000000
49696,Min Hyo-rin ,1,48000000.0,48000000
49697,Kim Shi-hoo,1,48000000.0,48000000
49698,Park Young-seo,1,48000000.0,48000000
49699,Jin Hee-kyung,1,48000000.0,48000000
49700,Kim Sun-Kyung,1,48000000.0,48000000
49701,Lee Kyoung-young,4,38326152.0,153304608
49702,Tempestt Bledsoe,1,107139399.0,107139399
49703,Hannah Noyes,1,107139399.0,107139399
49704,Alicia Lagano,1,107139399.0,107139399
49705,Lotfi Dziri,8,5446000.0,43568000
49706,Liya Kebede,10,6297540.3,62975403
49707,Anne Le Ny,1,426480871.0,426480871
49708,Alba Gaa Kraghede Bellugi,1,426480871.0,426480871
49709,Cyril Mendy,1,426480871.0,426480871
49710,Christian Ameri,2,227837100.5,455674201
49711,Salimata Kamate,1,426480871.0,426480871
49712,Absa Diatou Toure,1,426480871.0,426480871
49713,Dominique Daguier,1,426480871.0,426480871
49714,Franois Caron,1,426480871.0,426480871
49715,Thomas Solivres,1,426480871.0,426480871
49716,Grgoire Oestermann,1,426480871.0,426480871
49717,Dorothe Brire,1,426480871.0,426480871
49718,Josphine de Meaux,1,426480871.0,426480871
49719,Emilie Caen,1,426480871.0,426480871
49720,Caroline Bourg,1,426480871.0,426480871
49721,Sylvain Lazard,1,426480871.0,426480871
49722,Jean-Franois Cayrey,1,426480871.0,426480871
49723,Ian Fenelon,1,426480871.0,426480871
49724,Renaud Barse,1,426480871.0,426480871
49725,Franois Bureloup,2,219269529.0,438539058
49726,Nicky Marbot,1,426480871.0,426480871
49727,Benjamin Baroche,1,426480871.0,426480871
49728,Jrme Pauwels,1,426480871.0,426480871
49729,Antoine Laurent,1,426480871.0,426480871
49730,Fabrice Mantegna,1,426480871.0,426480871
49731,Hedi Bouchenafa,1,426480871.0,426480871
49732,Elliot Latil,1,426480871.0,426480871
49733,Lauren Fray,1,1585582.0,1585582
49734,Ron Pritchard,1,1585582.0,1585582
49735,Brian Gattas,1,1585582.0,1585582
49736,Sofia Karstens,1,1585582.0,1585582
49737,Greg Vrotsos,1,1585582.0,1585582
49738,Lou Richards,1,1585582.0,1585582
49739,Khristian Lupo,1,1585582.0,1585582
49740,lafur Darri lafsson,5,100506619.8,502533099
49741,Jason Mitchell,4,212988532.5,851954130
49742,Paul LeBlanc,1,63100000.0,63100000
49743,Natasha Calis,1,85446075.0,85446075
49744,Nana Gbewonyo ,1,85446075.0,85446075
49745,Jim Thorburn ,1,85446075.0,85446075
49746,Matisyahu ,1,85446075.0,85446075
49747,Erin Simms,1,85446075.0,85446075
49748,Grant Show,1,85446075.0,85446075
49749,Soloman K. Smith,1,1160268.0,1160268
49750,Chrystale Wilson,1,1160268.0,1160268
49751,Bryce Wilson,1,1160268.0,1160268
49752,Jay Jones,1,1160268.0,1160268
49753,Tariq Holloway,1,1160268.0,1160268
49754,Donna Biscoe,4,245992127.3,983968509
49755,George Williams,1,1160268.0,1160268
49756,Ron N. Binder,1,1160268.0,1160268
49757,Gregory W. Anderson,1,1160268.0,1160268
49758,Tom Rowley,1,1160268.0,1160268
49759,Chato Waters,1,1160268.0,1160268
49760,Reid Carolin,1,167221571.0,167221571
49761,Gabriel Iglesias,7,119752712.9,838268990
49762,Betsy Brandt,1,167221571.0,167221571
49763,Avery Camp,1,167221571.0,167221571
49764,George A. Sack,1,167221571.0,167221571
49765,Micaela Johnson,1,167221571.0,167221571
49766,Kate Easton,1,167221571.0,167221571
49767,Asher Wallis,1,167221571.0,167221571
49768,Catherine Lynn Stone,1,167221571.0,167221571
49769,Jennifer Skinner,1,167221571.0,167221571
49770,Vanessa Ryan,1,167221571.0,167221571
49771,Monica Garcia,1,167221571.0,167221571
49772,Annette Houlihan Verdolino,1,167221571.0,167221571
49773,Candace Marie,1,167221571.0,167221571
49774,Lyss Remaly,1,167221571.0,167221571
49775,Jannel-Marie Diaz,1,167221571.0,167221571
49776,Yari De Leon,1,167221571.0,167221571
49777,Cameron Banfield,1,167221571.0,167221571
49778,Keith Kurtz,1,167221571.0,167221571
49779,Marland Burke,1,167221571.0,167221571
49780,Ashley Hayes,1,167221571.0,167221571
49781,T.J. Alston,1,167221571.0,167221571
49782,Ken Anthony II,1,167221571.0,167221571
49783,Cassandra M. Bellantoni,2,91410785.5,182821571
49784,Julie Berlin,1,167221571.0,167221571
49785,Elizabeth Brissenden,1,167221571.0,167221571
49786,Emma Chandler,1,167221571.0,167221571
49787,Michelle Clunie,1,167221571.0,167221571
49788,Erica Day,1,167221571.0,167221571
49789,Tenley Dene,1,167221571.0,167221571
49790,Fielding Edlow,2,91410785.5,182821571
49791,Ingrid Fermandois,1,167221571.0,167221571
49792,Frenchi Firecracker,4,119073704.0,476294816
49793,Lubella Gauna,2,135130414.5,270260829
49794,Corin Grant,1,167221571.0,167221571
49795,Rod Grant,1,167221571.0,167221571
49796,Joe High,1,167221571.0,167221571
49797,Stacy Jordan,1,167221571.0,167221571
49798,Kelly Keyser,1,167221571.0,167221571
49799,Melody King,1,167221571.0,167221571
49800,Charlotte Wilson Langley,1,167221571.0,167221571
49801,Joshua Lassman,1,167221571.0,167221571
49802,Carrie Lauren,1,167221571.0,167221571
49803,Melissa LeEllen,1,167221571.0,167221571
49804,Morgan Lester,1,167221571.0,167221571
49805,Melinda D. Marin,1,167221571.0,167221571
49806,Krystle McMullan,1,167221571.0,167221571
49807,Adrienne McQueen,1,167221571.0,167221571
49808,Deana Molle',1,167221571.0,167221571
49809,Lindsey Marie Nelson,1,167221571.0,167221571
49810,Jeremy Palko,1,167221571.0,167221571
49811,B.J. Parker,3,214041699.3,642125098
49812,Barrett Perlman,1,167221571.0,167221571
49813,Maxi Schlereth,1,167221571.0,167221571
49814,Nicole Alexandra Shipley,2,470275100.0,940550200
49815,Veronica Viruet Simpson,2,113320092.0,226640184
49816,John L. Smith Jr.,1,167221571.0,167221571
49817,Hannah Stark,1,167221571.0,167221571
49818,Chad Stevens,1,167221571.0,167221571
49819,Michelle Stevenson,1,167221571.0,167221571
49820,Makenzi Swicegood,1,167221571.0,167221571
49821,Jennifer Thompson,1,167221571.0,167221571
49822,Rachael Thompson,1,167221571.0,167221571
49823,Victoria Vodar,1,167221571.0,167221571
49824,Kenny Waymack Jr.,1,167221571.0,167221571
49825,Jacob Tremblay,4,100034385.8,400137543
49826,Kevin Lee,6,226632021.0,1359792126
49827,Vanessa Matsui,2,177640589.0,355281178
49828,Vernica Echegui,1,16863583.0,16863583
49829,Emma Hamilton,1,16863583.0,16863583
49830,Paloma Bloyd,1,16863583.0,16863583
49831,Ferm Reixach,1,16863583.0,16863583
49832,Mark Ullod,1,16863583.0,16863583
49833,Lolo Herrero,1,16863583.0,16863583
49834,Alex Amaral,1,16863583.0,16863583
49835,Slvia Sabat,1,16863583.0,16863583
49836,Isaac Hempstead-Wright,2,54232733.0,108465466
49837,Felix Soper,1,209696.0,209696
49838,Spike White,1,209696.0,209696
49839,Charlie Callaghan,1,209696.0,209696
49840,James Kirkham,1,209696.0,209696
49841,Ewan Andrew Walker,1,209696.0,209696
49842,Adam Thomas Wright,1,209696.0,209696
49843,Ben Greaves-Neal,1,209696.0,209696
49844,Daniel Pirrie,1,209696.0,209696
49845,Nicholas Amer,1,209696.0,209696
49846,Nick Murphy ,1,209696.0,209696
49847,Vera Horton,3,189555580.3,568666741
49848,Neil Broome,3,368679249.0,1106037747
49849,Angourie Rice,3,71592558.33,214777675
49850,Clay Savage,1,126546518.0,126546518
49851,Michael Leone,3,53720819.0,161162457
49852,Katie Silverman,3,790509137.3,2371527412
49853,Madison Moellers,1,126546518.0,126546518
49854,Mary Mouser,2,113600333.5,227200667
49855,Vithaya Pansringarm,2,68033511.0,136067022
49856,Byron Gibson,2,32378129.5,64756259
49857,Sahajak Boonthanakit,3,23994432.33,71983297
49858,Yayaying Rhatha Phongam,2,68033511.0,136067022
49859,Charlie Ruedpokanon,2,16323305.0,32646610
49860,Wannisa Peungpa,1,10337387.0,10337387
49861,Narucha Chaimareung,1,10337387.0,10337387
49862,Clarissa Lassig,1,1703282.0,1703282
49863,Sarah Schaub,1,1703282.0,1703282
49864,Miles Feulner,1,1703282.0,1703282
49865,Amy Sakasitz,1,1703282.0,1703282
49866,Debra Stipe,1,858250.0,858250
49867,Stephan Morrow,1,858250.0,858250
49868,Kathryn Sanders,1,858250.0,858250
49869,Jodi Faith Cahn,1,858250.0,858250
49870,Edward Bonetti,1,858250.0,858250
49871,Chuck D.,1,45779.0,45779
49872,Harvey Weinstein,1,45779.0,45779
49873,Edouard Baer,1,1428291.0,1428291
49874,Mathis Bour,1,1428291.0,1428291
49875,Enna Balland,1,1428291.0,1428291
49876,Serge Avedikian,1,1428291.0,1428291
49877,Rona Hartner,1,1428291.0,1428291
49878,ric Caravaca,1,1428291.0,1428291
49879,Lauro Chartrand,1,10000000.0,10000000
49880,Thomas R. Daly,1,24719215.0,24719215
49881,Thom Van Dorp,1,24719215.0,24719215
49882,Stefan Kapii,2,403916097.0,807832194
49883,Sarah Palin,1,24719215.0,24719215
49884,John Chase,1,24719215.0,24719215
49885,Ahmaogak Sweeney,1,24719215.0,24719215
49886,John Pingayak,1,24719215.0,24719215
49887,Maliaq Kairaiuak,1,24719215.0,24719215
49888,Maeve Blake,1,24719215.0,24719215
49889,Hillarie Putnam,2,15108083.0,30216166
49890,Robert Forgit,2,15108083.0,30216166
49891,Maury Ginsberg,1,24719215.0,24719215
49892,Kelly Lee Williams,1,24719215.0,24719215
49893,Wayne Mitchell,1,24719215.0,24719215
49894,R.F. Daley,2,64551701.5,129103403
49895,Shanette Harper,1,24719215.0,24719215
49896,Quinn K. Redeker,1,24719215.0,24719215
49897,Tomer Sisley,2,134998738.5,269997477
49898,Julien Boisselier,1,3358.0,3358
49899,JoeyStarr,1,3358.0,3358
49900,Laurent Stocker,1,3358.0,3358
49901,Dean Constantin,1,3358.0,3358
49902,Pom Klementieff,3,289426840.3,868280521
49903,Catalina Denis,2,34450093.5,68900187
49904,Tom Cullen,1,484592.0,484592
49905,Chris New,1,484592.0,484592
49906,Jonathan Race,1,484592.0,484592
49907,Laura Freeman,1,484592.0,484592
49908,Loreto Murray,1,484592.0,484592
49909,Moon Chae-won,1,49000000.0,49000000
49910,Kim Mu-yeol,1,49000000.0,49000000
49911,Ryu Seung-ryong,2,80578405.5,161156811
49912,Park Ki-Woong,1,49000000.0,49000000
49913,Ryohei Otani,2,80578405.5,161156811
49914,Lee Da-wit,1,49000000.0,49000000
49915,Lee Seung-joon,2,80578405.5,161156811
49916,Aimee Carrero,2,91685442.5,183370885
49917,Tyler Forrest,3,59641308.33,178923925
49918,Roger Payano,1,36433975.0,36433975
49919,Vanessa Ray,1,36433975.0,36433975
49920,Geraldine Singer,2,144434112.5,288868225
49921,Julia Denton,1,36433975.0,36433975
49922,Colin Walker,2,18310543.5,36621087
49923,Stacie Davis,2,18224523.0,36449046
49924,Nargis Fakhri,4,79206554.75,316826219
49925,Shammi Kapoor,1,19660000.0,19660000
49926,Aditi Rao Hydari,3,12686666.67,38060000
49927,Kumud Mishra,5,40732000.0,203660000
49928,Moufid Aziz,1,19660000.0,19660000
49929,Shernaz Patel,1,19660000.0,19660000
49930,Shreya Narayan,1,19660000.0,19660000
49931,Julia Devin,1,5780000.0,5780000
49932,Ray Reinhardt,1,5780000.0,5780000
49933,Kerrie Cullen,1,5780000.0,5780000
49934,George Marshall Ruge,1,5780000.0,5780000
49935,Marquis Nunley,1,5780000.0,5780000
49936,Laura Lee,1,5780000.0,5780000
49937,Jenny Gago,1,5780000.0,5780000
49938,Laurie Lathem,1,5780000.0,5780000
49939,Dana Gladstone,1,5780000.0,5780000
49940,Jesse Hays,1,5780000.0,5780000
49941,Andrea Sandahi,1,5780000.0,5780000
49942,Coleen Maloney,1,5780000.0,5780000
49943,Shawn Rowe,1,5780000.0,5780000
49944,Melissa Hays,1,5780000.0,5780000
49945,Kevin Bourland,1,5780000.0,5780000
49946,Taylor Allbright,1,5780000.0,5780000
49947,Gene Lythgow,1,5780000.0,5780000
49948,Lynn Wanlass,1,5780000.0,5780000
49949,Kenny Alexander,1,5780000.0,5780000
49950,Dana Walsh,1,5780000.0,5780000
49951,Luke Pasqualino,2,48193202.0,96386404
49952,Anna Clark,1,9627492.0,9627492
49953,Melissa Goldberg,1,9627492.0,9627492
49954,Meena Serendib,1,9627492.0,9627492
49955,Zana Marjanovi,1,303877.0,303877
49956,Branko uri,2,161086.0,322172
49957,Dzana Pinjo,1,303877.0,303877
49958,Milo Timotijevi,2,16429998.0,32859996
49959,Goran Jevti,1,303877.0,303877
49960,Dolya Gavanski,1,303877.0,303877
49961,Fea tukan,1,303877.0,303877
49962,Nikola uriko,1,303877.0,303877
49963,Boris Ler,1,303877.0,303877
49964,Richard Ayoade,2,88261816.0,176523632
49965,Erin Moriarty,2,37073799.0,74147598
49966,Justin Wheelon,1,68267862.0,68267862
49967,Suraj Partha,1,125537191.0,125537191
49968,Khylin Rhambo,1,125537191.0,125537191
49969,Tony Mirrcandani,1,125537191.0,125537191
49970,Samuel Joslin,2,219740675.0,439481350
49971,Oaklee Pendergast,2,103387723.0,206775446
49972,Ploy Jindachote,1,180274123.0,180274123
49973,Jomjaoi Sae-Limh,1,180274123.0,180274123
49974,Johan Sundberg,1,180274123.0,180274123
49975,Jan Roland Sundberg,1,180274123.0,180274123
49976,La-Orng Thongruang,1,180274123.0,180274123
49977,Tor Klathaley,1,180274123.0,180274123
49978,Douglas Johansson,1,180274123.0,180274123
49979,Gitte Witt,1,180274123.0,180274123
49980,Diego Boneta,2,34722092.0,69444184
49981,Erica Frene,2,141964966.0,283929932
49982,Shane Hartline,1,59418613.0,59418613
49983,Mary J. Blige,2,33218401.0,66436802
49984,Matthew Rush Sullivan,1,59418613.0,59418613
49985,Michael Olusczak,1,59418613.0,59418613
49986,Anthony Bellissimo,1,59418613.0,59418613
49987,Celina Beach,1,59418613.0,59418613
49988,Angelo Valderrama,1,59418613.0,59418613
49989,Chantel Gonsalves,1,59418613.0,59418613
49990,Hanna Lee Sakakibara,1,59418613.0,59418613
49991,Jaimie Goodwin,1,59418613.0,59418613
49992,C.J. Tywoniak,1,59418613.0,59418613
49993,Maxwell Terlecki,1,59418613.0,59418613
49994,Robert Reef,1,59418613.0,59418613
49995,Vivi Pineda,2,72796952.0,145593904
49996,Aniela McGuinness,1,59418613.0,59418613
49997,Elvire Emanuelle,1,59418613.0,59418613
49998,David Gibbs,1,59418613.0,59418613
49999,Daniel Wills,1,59418613.0,59418613
50000,Prince Shah,1,59418613.0,59418613
50001,Benjamin Malone,1,59418613.0,59418613
50002,Arielle Reitsma,1,59418613.0,59418613
50003,Anya Garnis,1,59418613.0,59418613
50004,Barry Habib,1,59418613.0,59418613
50005,Constantine Maroulis,1,59418613.0,59418613
50006,Heather Leigh Davis,1,59418613.0,59418613
50007,Josh Randall,1,59418613.0,59418613
50008,Jack Mountford,1,59418613.0,59418613
50009,Elgin Kos Aponte,1,59418613.0,59418613
50010,Veronica Berry,1,59418613.0,59418613
50011,Karelix Alicea,1,59418613.0,59418613
50012,Choice Gray,1,59418613.0,59418613
50013,Sophie Cook,1,59418613.0,59418613
50014,Tawni Edwards,1,59418613.0,59418613
50015,Natalia Gonzalez,1,59418613.0,59418613
50016,Tara Nicole Hughes,2,252427156.5,504854313
50017,Kelsey Lack,1,59418613.0,59418613
50018,Mary Ann Lamb,1,59418613.0,59418613
50019,Isis Masoud,1,59418613.0,59418613
50020,Jill Nicklaus,1,59418613.0,59418613
50021,Maria Ines Serritella,1,59418613.0,59418613
50022,Jenni Lynn Thomasson,1,59418613.0,59418613
50023,Kelly Truzzolino,1,59418613.0,59418613
50024,Shana Burns,1,59418613.0,59418613
50025,Ian Joseph Paget,1,59418613.0,59418613
50026,Shekitra Starke,1,59418613.0,59418613
50027,Alexis Adler,1,59418613.0,59418613
50028,Danielle Core,1,59418613.0,59418613
50029,Chelsea Corp,1,59418613.0,59418613
50030,Chriz Embroz,1,59418613.0,59418613
50031,Lina Ferrera,1,59418613.0,59418613
50032,Susie Garcia,1,59418613.0,59418613
50033,Michelle Elizabeth Griffith,1,59418613.0,59418613
50034,Milena Hale,1,59418613.0,59418613
50035,Ann Lewin,1,59418613.0,59418613
50036,Marissa Alma Nick,1,59418613.0,59418613
50037,Hector Silva,1,59418613.0,59418613
50038,Katrina Rose Tandy,1,59418613.0,59418613
50039,Katherine Akra,1,59418613.0,59418613
50040,Alethea Austin,1,59418613.0,59418613
50041,Michael Balderrama,1,59418613.0,59418613
50042,Janet Briceo,1,59418613.0,59418613
50043,Jenyne Butterfly,1,59418613.0,59418613
50044,Lisa Marie Cordoba,1,59418613.0,59418613
50045,Jocelyn Dowling,1,59418613.0,59418613
50046,Jennifer Fain,1,59418613.0,59418613
50047,Marlo Fisken,1,59418613.0,59418613
50048,Anthony Jude Francisco,1,59418613.0,59418613
50049,Courtney Galiano,1,59418613.0,59418613
50050,Brittany Grimsley,1,59418613.0,59418613
50051,Neil Haskell,1,59418613.0,59418613
50052,Keith Kuhl,1,59418613.0,59418613
50053,Brooke Upton,1,59418613.0,59418613
50054,Tiffany Maher,1,59418613.0,59418613
50055,Tiger Martina,1,59418613.0,59418613
50056,Angelique Martinez,1,59418613.0,59418613
50057,Mark Myars,1,59418613.0,59418613
50058,Frank Meli,1,59418613.0,59418613
50059,Carolyn Pace,1,59418613.0,59418613
50060,Danielle Rueda-Watts,1,59418613.0,59418613
50061,Julie Wiesman,1,59418613.0,59418613
50062,Tovaris Wilson,1,59418613.0,59418613
50063,William Wingfield,1,59418613.0,59418613
50064,Joseph Akharoh Jr.,1,59418613.0,59418613
50065,Marnie Alexenburg,1,59418613.0,59418613
50066,Liannette Altuve,1,59418613.0,59418613
50067,Alain Alvarez,1,59418613.0,59418613
50068,Pearce Blair,1,59418613.0,59418613
50069,Andrew Blandina,1,59418613.0,59418613
50070,Brandon Blondun,1,59418613.0,59418613
50071,Lashawn Butler,1,59418613.0,59418613
50072,Gail Byer,1,59418613.0,59418613
50073,Alex Caceres,1,59418613.0,59418613
50074,Lorraine Caporaso,1,59418613.0,59418613
50075,Santos Caraballo,2,72826568.0,145653136
50076,Brad Champion,1,59418613.0,59418613
50077,Heather Ashley Chase,3,291063326.3,873189979
50078,Jordan M. Cohen,1,59418613.0,59418613
50079,Shawn Copenhaver,1,59418613.0,59418613
50080,Anna Crossley,1,59418613.0,59418613
50081,Patrice Cruz,1,59418613.0,59418613
50082,Ellen Marguerite Cullivan,2,72826568.0,145653136
50083,Sarah Dandashy,1,59418613.0,59418613
50084,Terra Dawn,1,59418613.0,59418613
50085,Christopher De Stefano,2,72826568.0,145653136
50086,Jordana DePaula,1,59418613.0,59418613
50087,Robert di Scipio,1,59418613.0,59418613
50088,Christopher Diaz,1,59418613.0,59418613
50089,Eric Ditman,1,59418613.0,59418613
50090,Adam Dormi,1,59418613.0,59418613
50091,Donald Dowd,1,59418613.0,59418613
50092,Corinne Engstrom,2,185506322.5,371012645
50093,Ely Feldman,2,72826568.0,145653136
50094,Marcelo Feldman,1,59418613.0,59418613
50095,Tracey Ferrara,3,103024415.0,309073245
50096,Katie Flynn,1,59418613.0,59418613
50097,Patrick Fox,1,59418613.0,59418613
50098,Blake French,1,59418613.0,59418613
50099,Eduardo M. Freyre,1,59418613.0,59418613
50100,Brett Friedmann,1,59418613.0,59418613
50101,Ricardo Fumasoli,1,59418613.0,59418613
50102,Juan Gallo,1,59418613.0,59418613
50103,Jason Gatto,1,59418613.0,59418613
50104,Katherine Gilton,1,59418613.0,59418613
50105,Buddha Gonzalez,1,59418613.0,59418613
50106,Jessica Guadix,2,99944679.5,199889359
50107,Mike Guzman,1,59418613.0,59418613
50108,Randy Herman,1,59418613.0,59418613
50109,Angel Luis Hernndez,1,59418613.0,59418613
50110,JLynne Herrington,1,59418613.0,59418613
50111,Shauna Kae Lauritzen,1,59418613.0,59418613
50112,Valentina Karantoni,1,59418613.0,59418613
50113,Irene Kelly,1,59418613.0,59418613
50114,Sean Patrick Kennedy,1,59418613.0,59418613
50115,Grant Koo,1,59418613.0,59418613
50116,Helmy Lavezzari,1,59418613.0,59418613
50117,David W. LeBlanc,2,72826568.0,145653136
50118,Tracy Lee,2,72826568.0,145653136
50119,Gisselle Legere,1,59418613.0,59418613
50120,Laurel Levey,1,59418613.0,59418613
50121,John Archer Lundgren,4,69623913.25,278495653
50122,Constantine Malahias,1,59418613.0,59418613
50123,Janelle Marie,1,59418613.0,59418613
50124,John McGlothlin,1,59418613.0,59418613
50125,John McKarthy,1,59418613.0,59418613
50126,Stephanie McLane,1,59418613.0,59418613
50127,Tom Milana,1,59418613.0,59418613
50128,Taylor Anthony Miller,1,59418613.0,59418613
50129,Jim Mitchell,1,59418613.0,59418613
50130,Kary Musa,1,59418613.0,59418613
50131,Maria Musebrink,1,59418613.0,59418613
50132,Margeaux Nelson,1,59418613.0,59418613
50133,Scott Opiela,1,59418613.0,59418613
50134,Mina Ownlee,1,59418613.0,59418613
50135,Antonio Padin,1,59418613.0,59418613
50136,Susan Pages,1,59418613.0,59418613
50137,Tatiana Paris,1,59418613.0,59418613
50138,Jennie Parrish,1,59418613.0,59418613
50139,Nicholas X. Parsons,1,59418613.0,59418613
50140,Indra Patel,1,59418613.0,59418613
50141,Heathyre Perara,1,59418613.0,59418613
50142,Ryan Powers,1,59418613.0,59418613
50143,Julie Anne Prescott,1,59418613.0,59418613
50144,Lisa Marie Quillinan,1,59418613.0,59418613
50145,Heidi Rae,1,59418613.0,59418613
50146,Andrew Raffelson,1,59418613.0,59418613
50147,Terry L. Reed,1,59418613.0,59418613
50148,Christina Rodriguez,1,59418613.0,59418613
50149,Joe Rodriguez,1,59418613.0,59418613
50150,Tony Saiz,1,59418613.0,59418613
50151,Katie Schaar,1,59418613.0,59418613
50152,Metisha Schaefer,1,59418613.0,59418613
50153,Danny Shamon,1,59418613.0,59418613
50154,Julia Shure,1,59418613.0,59418613
50155,Jaime Ray Soto,1,59418613.0,59418613
50156,Craig C. Stewart,1,59418613.0,59418613
50157,Frank Tedesco,1,59418613.0,59418613
50158,Lacey Toups,1,59418613.0,59418613
50159,Mayra Vallejo,1,59418613.0,59418613
50160,Charles Van Dyke,1,59418613.0,59418613
50161,Giovanni Velazquez,1,59418613.0,59418613
50162,Vanessa Volt,1,59418613.0,59418613
50163,Jennifer Wolfson,1,59418613.0,59418613
50164,Jason Wool,1,59418613.0,59418613
50165,Christian Ijin Link,1,59418613.0,59418613
50166,Katie McGrath,3,553524105.0,1660572315
50167,Ariana Neal,4,98029504.0,392118016
50168,Denise Milfont,1,1189612.0,1189612
50169,Selma Pinkard,1,1189612.0,1189612
50170,Avery Edward Landry,1,1189612.0,1189612
50171,Margo Swisher,1,1189612.0,1189612
50172,Christian Wolf-La'Moy ,4,465134903.8,1860539615
50173,Duncan JC Mais ,1,197687603.0,197687603
50174,Santi Scinelli ,1,197687603.0,197687603
50175,Caroline Hayes,1,197687603.0,197687603
50176,Tandi Wright,1,197687603.0,197687603
50177,Simon Lowe,1,197687603.0,197687603
50178,Mingus Johnston,2,440008871.0,880017742
50179,Joy McBrinn,1,197687603.0,197687603
50180,Peter Bonner,1,197687603.0,197687603
50181,Lee Whitlock,3,72051744.67,216155234
50182,Don McCorkindale,1,197687603.0,197687603
50183,Tayler Marshall,1,197687603.0,197687603
50184,Amber Vertannes,1,197687603.0,197687603
50185,Phill Martin,1,197687603.0,197687603
50186,Steve Haze,1,197687603.0,197687603
50187,Tim Foley,1,197687603.0,197687603
50188,Michael Self,1,197687603.0,197687603
50189,Sydney Rawson,1,197687603.0,197687603
50190,Catherine Steadman,2,60832550.0,121665100
50191,Alex Taylor-McDowall,1,34564651.0,34564651
50192,Anita Barone,1,1596.0,1596
50193,William Stanford Davis,1,1596.0,1596
50194,Gordon Jennison Noice,1,1596.0,1596
50195,Kamil McFadden,2,276962974.0,553925948
50196,Georgie Grieve,1,306941670.0,306941670
50197,Olivia Mattingly,1,306941670.0,306941670
50198,Dominique Grund,1,306941670.0,306941670
50199,April Lawrence,2,337906338.5,675812677
50200,Ryan Crego,2,306941670.0,613883340
50201,Alec Newman,1,25345000.0,25345000
50202,Garry Sweeney,1,25345000.0,25345000
50203,Holly Boyd,1,25345000.0,25345000
50204,Gong Yoo,2,16814884.0,33629768
50205,Kim Hyun-soo,1,31500000.0,31500000
50206,Jeong In-seo,1,31500000.0,31500000
50207,Baek Seung-hwan,1,31500000.0,31500000
50208,Jang Gwang,1,31500000.0,31500000
50209,Kim Min-sang,1,31500000.0,31500000
50210,Lim Hyun-sung,1,31500000.0,31500000
50211,Kim Joo-ryoung,1,31500000.0,31500000
50212,Uhm Hyo-sup,1,31500000.0,31500000
50213,Jeon Kuk-hwan,1,31500000.0,31500000
50214,Choi Jin-ho,1,31500000.0,31500000
50215,Kim Ji-young,1,31500000.0,31500000
50216,Nick Harding,1,32204030.0,32204030
50217,Dan Savier,1,32204030.0,32204030
50218,Damijan Oklopdzic,1,32204030.0,32204030
50219,Bojan Peri,1,32204030.0,32204030
50220,Alessandra Mastronardi,1,73244881.0,73244881
50221,Mariano Rigillo,1,73244881.0,73244881
50222,Simona Caparrini,2,90694995.0,181389990
50223,Antonio Albanese,1,73244881.0,73244881
50224,Flavio Parenti,1,73244881.0,73244881
50225,Sergio Solli,1,73244881.0,73244881
50226,Vinicio Marchioni,3,25004125.67,75012377
50227,Monica Nappo,1,73244881.0,73244881
50228,Lina Sastri,1,73244881.0,73244881
50229,Gabriele Rapone,1,73244881.0,73244881
50230,Giuseppe Pambieri,1,73244881.0,73244881
50231,Maria Rosaria Omaggio,1,73244881.0,73244881
50232,Corrado Fortuna,1,73244881.0,73244881
50233,Marta Zoffoli,1,73244881.0,73244881
50234,Pierluigi Marchionne,1,73244881.0,73244881
50235,Fabio Bonini,1,73244881.0,73244881
50236,Edoardo Leo,1,73244881.0,73244881
50237,Donatella Finocchiaro,1,73244881.0,73244881
50238,Fabio Armiliato,1,73244881.0,73244881
50239,Ilaria Serrato,1,73244881.0,73244881
50240,Cristiana Palazzoni,1,73244881.0,73244881
50241,Isabella Ferrari,1,73244881.0,73244881
50242,Lino Guanciale,1,73244881.0,73244881
50243,Cecilia Capriotti,1,73244881.0,73244881
