,actors,number_of_movies,average_revenue,average_revenue (shifted)
1007,Brittany Murphy,11,98836000.91,1087196010
1008,Kim Basinger,22,79388400.68,1746544815
1009,Michael Shannon,31,122474104.8,3796697249
1010,Taryn Manning,6,88755684.67,532534108
1011,Anthony Mackie,31,183574391.5,5690806138
1012,De'Angelo Wilson,1,215000000.0,215000000
1013,Evan Jones,6,224028265.0,1344169590
1014,Omar Benson Miller,7,101290136.7,709030957
1015,Eugene Byrd,4,376916364.0,1507665456
1016,Mike Bell,2,440346140.5,880692281
1017,Xzibit,7,73578026.0,515046182
1018,Proof,1,215000000.0,215000000
1019,Strike,1,215000000.0,215000000
1020,Nashawn 'Ox' Breedlove,1,215000000.0,215000000
1021,Miz-Korona,1,215000000.0,215000000
1022,Craig Chandler,1,215000000.0,215000000
1023,Larry Hudson,1,215000000.0,215000000
1024,Laura Linney,18,102066232.8,1837192191
1025,Judy Davis,10,47208963.2,472089632
1026,Alison Eastwood,2,37586782.5,75173565
1027,Melora Hardin,7,88493874.14,619457119
1028,E.G. Marshall,10,42364755.5,423647555
1029,Richard Jenkins,36,112096796.2,4035484662
1030,Joaquin Phoenix,18,96720250.22,1740964504
1031,Reese Witherspoon,19,132737576.3,2522013949
1032,Ginnifer Goodwin,8,314072099.1,2512576793
1033,Robert Patrick,25,107697010.6,2692425264
1034,Tyler Hilton,1,186438883.0,186438883
1035,Johnathan Rice,1,186438883.0,186438883
1036,Shooter Jennings,1,186438883.0,186438883
1037,Waylon Payne,2,93232964.5,186465929
1038,Dallas Roberts,7,58799208.14,411594457
1039,Dan John Miller,1,186438883.0,186438883
1040,Larry Bagby,2,112976798.0,225953596
1041,Sandra Ellis Lafferty,9,221790179.9,1996111619
1042,Dan Beene,3,105699889.0,317099667
1043,Lucas Till,10,232546551.8,2325465518
1044,Victoria Hester,1,186438883.0,186438883
1045,Hailey Anne Nelson,2,154678969.0,309357938
1046,Shelby Lynne,1,186438883.0,186438883
1047,Clay Steakley,1,186438883.0,186438883
1048,Ridge Canipe,2,99472535.5,198945071
1049,Kerris Dorsey,4,125038419.8,500153679
1050,Deborah Rawlings,1,186438883.0,186438883
1051,James DeForest Parker,2,154678969.0,309357938
1052,James Keach,4,66283406.0,265133624
1053,Danny Vinson,6,108027254.7,648163528
1054,Natalie Canerday,2,105441502.0,210883004
1055,Rhoda Griffis,16,160369458.6,2565911337
1056,Jeff Bailey,1,186438883.0,186438883
1057,J.D. Evermore,20,101362549.2,2027250983
1058,Tim Ware,4,100226363.8,400905455
1059,Dolan Wilson,2,120134649.0,240269298
1060,Clare Grant,3,82323502.67,246970508
1061,Glenda Pannell,1,186438883.0,186438883
1062,Amy Lavere,2,98671364.5,197342729
1063,John Carter Cash,1,186438883.0,186438883
1064,Aaron Covington,1,186438883.0,186438883
1065,Geoff Falk,1,186438883.0,186438883
1066,Jan Falk,1,186438883.0,186438883
1067,Marc Farley,2,161530077.0,323060154
1068,Cody Hanford,1,186438883.0,186438883
1069,Donald Meyers,1,186438883.0,186438883
1070,Mike Montgomery,1,186438883.0,186438883
1071,Brit Shaw,2,132267718.0,264535436
1072,Melissa Goodwin Shepherd,3,744669091.0,2234007273
1073,Ben Taylor,2,98823006.5,197646013
1074,Frank Hoyt Taylor,6,111676032.8,670056197
1075,Hilary Swank,15,62803653.73,942054806
1076,Jay Baruchel,13,220095056.1,2861235729
1077,Mike Colter,3,324537046.0,973611138
1078,Lucia Rijker,2,301222046.0,602444092
1079,Bran F. O'Byrne,8,63076873.0,504614984
